% masses of different gases expressed in SI units (Kg)

N3    3*14.007*1.660539040e-27
N4    4*14.007*1.660539040e-27
N2    2*14.007*1.660539040e-27
N     14.007*1.660539040e-27
O2    2*15.999*1.660539040e-27
O     15.999*1.660539040e-27
O3    3*15.999*1.660539040e-27
H2    2*1.008*1.660539040e-27
H     1.008*1.660539040e-27
CO2   (12.0107+2*15.999)*1.660539040e-27
CO    (12.0107+15.999)*1.660539040e-27
Ar    39.948*1.660539040e-27
He    4.002602*1.660539040e-27
H2O   (2*1.008+15.999)*1.660539040e-27
CH4   16.0427*1.660539040e-27
